 ;Timmätt förbr;Timmätt förbr;Timmätt förbr;Timmätt förbr;Ospec.;Ospec.;Ospec.;Ospec.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Ospec. ;Ospec. ;Ospec. ;Ospec. ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vindkraft;Vindkraft;Vindkraft;Vindkraft;Kärnkraft;Värmekraft;Värmekraft;Värmekraft;Värmekraft;Gast./diesel;Gast./diesel;Gast./diesel;Gast./diesel;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Solkraft;Solkraft;Solkraft;Solkraft
19.11.2017 1:00;-763;-1 144;-5 082;-1 154;-;-;-;-;-18.15;-4.20;-95.01;-1.46;0.56;0.01;12.81;26.10;1069;2056;812;215;187.0;706;418;925;8580;34.3;156.5;829;178;-;-;-;-;-285;-594;-3 469;-1 124;-24.9;-40.5;-266.2;-83.9;0.000;0.012;0.025;0.027
19.11.2017 2:00;-752;-1 143;-4 987;-1 130;-;-;-;-;-22.11;-4.26;-98.76;-1.32;0.43;0.02;12.81;26.40;1027;1991;804;216;158.1;670;505;919;8584;33.3;157.4;825;181;-;-;-;-;-284;-591;-3 415;-1 103;-24.8;-40.3;-262.1;-82.4;0.000;0.013;0.027;0.024
19.11.2017 3:00;-762;-1 147;-5 029;-1 126;-;-;-;-;-23.73;-4.37;-98.78;-1.51;0.43;0.01;12.80;29.10;1019;2034;815;218;151.7;649;574;809;8585;33.1;155.1;853;181;-;-;-;-;-283;-592;-3 402;-1 092;-24.7;-40.4;-261.0;-81.5;0.000;0.004;0.027;0.029
19.11.2017 4:00;-775;-1 143;-4 971;-1 146;-;-;-;-;-23.61;-4.48;-97.04;-1.89;0.00;0.03;12.80;31.51;1053;2094;833;221;180.7;673;643;712;8586;33.0;162.2;859;181;-;-;-;-;-284;-599;-3 419;-1 090;-24.8;-40.8;-262.2;-81.3;0.000;0.001;0.026;0.030
19.11.2017 5:00;-797;-1 144;-5 079;-1 169;-;-;-;-;-22.28;-5.22;-79.96;-1.75;0.00;0.02;12.80;31.20;1121;2216;808;223;176.9;729;757;602;8588;33.2;156.6;863;181;-;-;-;-;-288;-611;-3 474;-1 100;-25.2;-41.7;-266.4;-82.1;0.000;0.002;0.028;0.027
19.11.2017 6:00;-826;-1 167;-5 216;-1 225;-;-;-;-;-22.09;-5.25;-65.46;-1.34;0.00;0.02;12.78;27.30;1177;2602;812;229;156.8;742;883;532;8588;33.1;155.8;859;179;-;-;-;-;-294;-627;-3 578;-1 128;-25.6;-42.7;-274.4;-84.2;0.000;0.002;0.029;0.031
19.11.2017 7:00;-823;-1 188;-5 411;-1 271;-;-;-;-;-23.76;-5.45;-61.12;-1.61;0.38;0.05;12.72;25.80;1259;2868;848;234;148.8;758;1065;485;8589;33.0;156.6;868;181;-;-;-;-;-302;-647;-3 767;-1 180;-26.4;-44.0;-288.9;-88.2;0.000;0.002;0.033;0.030
19.11.2017 8:00;-834;-1 190;-5 557;-1 299;-;-;-;-;-23.24;-5.32;-58.73;-1.50;0.59;0.02;12.69;26.09;1559;3092;884;247;163.7;712;1125;468;8588;33.0;155.5;881;185;-;-;-;-;-310;-662;-4 022;-1 255;-27.1;-45.0;-308.5;-93.7;0.000;0.005;0.059;0.108
19.11.2017 9:00;-850;-1 195;-5 639;-1 335;-;-;-;-;-19.76;-5.16;-68.35;-1.43;0.00;0.06;12.43;25.86;1675;3505;912;249;157.0;709;1171;472;8588;32.3;150.7;902;190;-;-;-;-;-323;-689;-4 382;-1 360;-28.2;-46.7;-336.1;-101.6;0.000;0.010;0.306;0.497
19.11.2017 10:00;-868;-1 194;-5 810;-1 385;-;-;-;-;-11.04;-5.23;-74.69;-1.38;0.00;0.03;13.06;26.18;1730;4006;1001;253;155.6;703;1126;532;8588;31.9;151.4;946;190;-;-;-;-;-333;-706;-4 623;-1 411;-29.1;-47.8;-354.6;-105.6;0.000;0.011;0.782;1.209
19.11.2017 11:00;-847;-1 215;-5 827;-1 405;-;-;-;-;-23.30;-5.46;-72.91;-1.60;0.00;0.04;13.19;25.92;1710;4109;1015;254;165.0;682;1101;629;8587;32.2;154.7;991;188;-;-;-;-;-338;-712;-4 781;-1 450;-29.5;-48.2;-367.0;-108.6;0.000;0.013;1.257;1.589
19.11.2017 12:00;-863;-1 220;-5 895;-1 423;-;-;-;-;-22.22;-5.77;-94.24;-1.39;0.00;0.02;13.30;25.98;1758;4264;958;257;168.9;700;1048;694;8251;32.7;153.3;1040;194;-;-;-;-;-338;-709;-4 850;-1 470;-29.5;-48.0;-372.2;-110.0;0.000;0.016;1.156;1.553
19.11.2017 13:00;-871;-1 218;-5 976;-1 406;-;-;-;-;-23.97;-6.34;-99.98;-1.80;0.00;0.01;13.33;26.33;1963;4356;936;261;178.3;704;927;804;7952;32.1;153.4;1069;191;-;-;-;-;-338;-706;-4 851;-1 477;-29.5;-47.8;-372.1;-110.6;0.000;0.007;0.669;0.896
19.11.2017 14:00;-878;-1 229;-6 054;-1 434;-;-;-;-;-24.99;-6.50;-103.51;-1.83;0.00;0.00;13.49;25.88;2396;4386;969;260;180.8;724;798;900;7853;33.1;156.3;1090;195;-;-;-;-;-347;-715;-4 881;-1 501;-30.4;-48.3;-374.5;-112.5;0.000;0.004;0.230;0.208
19.11.2017 15:00;-878;-1 256;-6 117;-1 453;-;-;-;-;-24.68;-6.17;-107.04;-1.15;0.00;0.01;13.36;26.05;2562;4552;1009;259;196.5;733;743;951;7629;33.5;155.2;1136;201;-;-;-;-;-365;-759;-5 060;-1 571;-31.9;-51.3;-388.4;-117.6;0.000;0.007;0.079;0.045
19.11.2017 16:00;-869;-1 264;-6 218;-1 478;-;-;-;-;-24.77;-6.19;-110.06;-1.48;0.00;0.00;13.43;27.35;2874;4650;1069;255;193.6;694;782;1051;7370;33.4;156.4;1121;200;-;-;-;-;-376;-793;-5 415;-1 716;-32.9;-53.5;-415.8;-128.4;0.000;0.011;0.046;0.038
19.11.2017 17:00;-855;-1 261;-6 249;-1 449;-;-;-;-;-25.06;-5.56;-95.17;-0.82;0.00;0.01;13.43;28.17;2969;4942;1155;255;215.6;638;730;1058;7269;33.8;154.7;1068;189;-;-;-;-;-373;-791;-5 602;-1 795;-32.6;-53.2;-430.2;-134.3;0.000;0.011;0.047;0.036
19.11.2017 18:00;-843;-1 253;-6 159;-1 439;-;-;-;-;-28.97;-5.52;-77.09;-0.01;0.00;0.01;13.33;29.28;2966;4969;1158;256;215.4;622;709;1044;7197;33.7;155.2;1059;210;-;-;-;-;-366;-775;-5 590;-1 789;-32.1;-52.1;-429.3;-133.9;0.000;0.014;0.048;0.033
19.11.2017 19:00;-832;-1 260;-6 101;-1 420;-;-;-;-;-24.19;-5.49;-66.06;-0.01;0.00;0.01;13.51;29.43;2873;4958;1114;257;206.1;604;745;952;7192;33.4;155.8;1038;225;-;-;-;-;-360;-758;-5 452;-1 742;-31.6;-51.0;-418.4;-130.3;0.000;0.010;0.047;0.034
19.11.2017 20:00;-839;-1 272;-5 994;-1 401;-;-;-;-;-23.82;-5.56;-51.24;-0.01;0.01;0.02;13.48;29.55;2758;4769;1068;259;204.5;592;700;844;7188;33.6;154.9;1027;232;-;-;-;-;-349;-734;-5 200;-1 674;-30.6;-49.6;-398.9;-125.2;0.000;0.016;0.041;0.032
19.11.2017 21:00;-847;-1 268;-5 873;-1 380;-;-;-;-;-24.02;-5.78;-50.58;-0.01;0.00;0.01;13.41;29.55;2604;4502;1048;257;211.2;592;681;706;7186;32.9;153.2;1055;235;-;-;-;-;-336;-706;-4 900;-1 587;-29.5;-47.7;-375.6;-118.6;0.000;0.014;0.041;0.033
19.11.2017 22:00;-845;-1 251;-5 799;-1 338;-;-;-;-;-25.51;-6.00;-47.95;-0.01;0.00;0.02;13.61;29.41;2190;4192;1024;254;215.3;571;685;531;7188;33.2;153.0;1072;233;-;-;-;-;-318;-670;-4 527;-1 479;-27.8;-45.4;-346.7;-110.3;0.000;0.011;0.036;0.030
19.11.2017 23:00;-841;-1 217;-5 726;-1 328;-;-;-;-;-22.85;-6.20;-54.97;-0.01;0.01;0.02;13.52;29.46;1766;3676;929;252;212.7;565;651;427;7184;33.3;152.1;1064;224;-;-;-;-;-300;-631;-4 166;-1 375;-26.3;-42.8;-318.8;-102.6;0.000;0.013;0.032;0.031
20.11.2017 0:00;-808;-1 217;-5 635;-1 320;-;-;-;-;-22.97;-6.02;-52.99;-0.01;0.00;0.01;13.63;31.83;1391;3423;877;254;197.6;530;618;393;7185;31.3;151.3;1045;222;-;-;-;-;-290;-610;-3 961;-1 323;-25.4;-41.4;-303.1;-98.7;0.000;0.012;0.031;0.021
20.11.2017 1:00;-792;-1 217;-5 560;-1 302;-;-;-;-;-23.56;-6.09;-53.42;0.00;0.00;0.02;13.62;32.54;1171;3330;923;251;187.8;513;560;357;7186;31.0;151.7;1076;212;-;-;-;-;-285;-603;-3 880;-1 306;-25.0;-40.9;-296.7;-97.3;0.000;0.011;0.031;0.028
20.11.2017 2:00;-778;-1 201;-5 469;-1 296;-;-;-;-;-21.84;-6.23;-51.99;-0.01;0.18;0.02;13.61;31.61;1171;3273;941;253;178.7;508;525;304;7185;31.0;152.4;1103;210;-;-;-;-;-285;-604;-3 857;-1 302;-25.0;-41.0;-294.8;-97.1;0.000;0.009;0.032;0.031
20.11.2017 3:00;-783;-1 188;-5 447;-1 301;-;-;-;-;-13.87;-6.44;-53.83;-0.01;0.41;0.01;13.50;33.75;1184;3381;955;256;155.0;469;516;263;7187;32.5;153.7;1101;212;-;-;-;-;-290;-614;-3 880;-1 312;-25.4;-41.5;-296.6;-97.9;0.000;0.006;0.029;0.027
20.11.2017 4:00;-787;-1 192;-5 562;-1 333;-;-;-;-;-13.87;-6.86;-57.79;-0.01;0.00;0.02;13.60;32.59;1179;3698;978;257;153.8;474;493;239;7189;33.4;155.9;1099;211;-;-;-;-;-299;-634;-3 961;-1 338;-26.2;-42.9;-302.7;-99.7;0.000;0.007;0.031;0.031
20.11.2017 5:00;-797;-1 236;-5 915;-1 478;-;-;-;-;-13.69;-6.47;-49.66;-0.01;0.01;0.00;13.51;32.43;1831;4194;1176;261;157.9;496;440;225;7201;39.1;157.6;1121;212;-;-;-;-;-313;-671;-4 188;-1 403;-27.3;-45.4;-320.1;-104.6;0.000;0.007;0.033;0.029
20.11.2017 6:00;-838;-1 350;-6 725;-1 731;-;-;-;-;-15.84;-7.46;-52.29;-0.01;0.00;0.01;13.48;32.34;2872;5473;1594;261;149.5;435;403;209;7208;38.4;161.6;1123;208;-;-;-;-;-329;-720;-4 630;-1 541;-28.7;-48.6;-353.9;-114.8;0.000;0.005;0.037;0.032
20.11.2017 7:00;-885;-1 448;-7 474;-1 999;-;-;-;-;-23.90;-9.20;-49.56;-0.15;0.00;0.01;13.44;31.62;3897;6121;1755;267;151.9;378;371;182;7209;38.8;164.5;1172;172;-;-;-;-;-335;-744;-4 920;-1 632;-29.2;-50.2;-376.4;-121.7;0.000;0.002;0.038;0.037
20.11.2017 8:00;-907;-1 478;-7 722;-2 085;-;-;-;-;-24.01;-10.62;-52.90;-2.04;0.00;0.00;13.39;32.08;3843;6144;1772;271;162.7;343;349;175;7206;38.0;164.2;1213;167;-;-;-;-;-324;-724;-4 813;-1 613;-28.3;-48.8;-368.6;-120.5;0.000;0.004;0.104;0.254
20.11.2017 9:00;-906;-1 479;-7 780;-2 103;-;-;-;-;-25.42;-6.93;-51.03;-2.13;0.00;0.00;13.29;31.80;3825;6168;1764;276;162.5;372;330;155;7206;35.4;162.2;1205;155;-;-;-;-;-322;-720;-4 775;-1 579;-28.1;-48.6;-366.1;-118.1;0.000;0.027;1.046;1.918
20.11.2017 10:00;-895;-1 501;-7 884;-2 139;-;-;-;-;-18.60;-5.83;-50.47;-1.60;0.00;0.00;13.58;32.85;3764;6238;1702;277;150.3;360;228;133;7209;36.9;163.8;1203;155;-;-;-;-;-321;-717;-4 707;-1 527;-28.0;-48.5;-361.2;-114.4;0.000;0.125;3.143;4.469
20.11.2017 11:00;-904;-1 522;-7 893;-2 132;-;-;-;-;-20.04;-5.80;-49.62;-2.25;0.00;0.00;12.87;33.82;3800;6136;1682;280;144.3;344;150;109;7204;36.7;165.8;1203;171;-;-;-;-;-321;-712;-4 638;-1 480;-28.0;-48.2;-356.3;-111.0;0.000;0.235;5.069;6.015
20.11.2017 12:00;-915;-1 492;-7 828;-2 098;-;-;-;-;-18.22;-6.35;-46.99;-2.23;0.00;0.01;13.72;33.72;3800;6179;1769;280;145.2;306;138;96;7203;36.9;164.7;1155;193;-;-;-;-;-321;-706;-4 602;-1 446;-27.9;-47.9;-353.8;-108.6;0.000;0.241;4.671;5.755
20.11.2017 13:00;-944;-1 499;-7 792;-2 117;-;-;-;-;-17.53;-7.59;-43.71;-2.10;0.00;0.00;13.54;34.42;3826;6319;1805;278;138.8;256;127;83;7204;36.3;164.1;1169;204;-;-;-;-;-319;-701;-4 560;-1 415;-27.8;-47.6;-350.7;-106.2;0.000;0.131;3.205;3.473
20.11.2017 14:00;-933;-1 516;-7 791;-2 088;-;-;-;-;-21.04;-7.99;-43.46;-1.90;0.00;0.01;13.16;34.25;3922;6339;1809;283;141.6;249;134;68;7214;37.9;165.4;1135;208;-;-;-;-;-330;-718;-4 630;-1 443;-28.8;-48.7;-356.2;-108.3;0.000;0.015;0.751;0.692
20.11.2017 15:00;-945;-1 524;-7 757;-2 091;-;-;-;-;-14.11;-7.42;-44.59;-1.42;0.00;0.00;13.30;32.51;3956;6379;1817;283;139.0;252;133;50;7213;33.8;168.0;1127;210;-;-;-;-;-350;-772;-4 914;-1 552;-30.5;-52.3;-377.8;-116.4;0.000;0.001;0.074;0.066
20.11.2017 16:00;-893;-1 465;-7 588;-1 975;-;-;-;-;-14.41;-6.92;-46.24;-0.71;0.00;0.01;13.40;32.12;3935;6374;1804;277;130.0;226;139;48;7196;33.2;170.3;1146;213;-;-;-;-;-367;-828;-5 384;-1 765;-32.0;-55.9;-413.8;-132.4;0.000;0.001;0.043;0.036
20.11.2017 17:00;-844;-1 429;-7 331;-1 893;-;-;-;-;-25.58;-7.30;-48.75;-0.95;0.00;0.00;13.29;33.02;3896;6256;1812;272;112.4;192;114;50;7194;33.5;170.5;1179;228;-;-;-;-;-372;-849;-5 719;-1 900;-32.5;-57.2;-439.5;-142.3;0.000;0.004;0.046;0.033
20.11.2017 18:00;-833;-1 410;-7 029;-1 801;-;-;-;-;-25.07;-6.53;-48.17;-0.96;0.00;0.00;13.32;34.36;3884;6257;1736;274;114.7;172;90;42;7207;33.2;166.9;1215;234;-;-;-;-;-364;-836;-5 744;-1 906;-31.8;-56.3;-441.2;-142.7;0.000;0.008;0.044;0.033
20.11.2017 19:00;-838;-1 391;-6 891;-1 776;-;-;-;-;-17.93;-5.96;-49.44;-0.79;0.00;0.01;13.21;34.35;3851;6220;1761;277;114.7;150;91;32;7206;32.9;163.7;1220;237;-;-;-;-;-358;-823;-5 638;-1 867;-31.3;-55.5;-432.9;-139.6;0.000;0.009;0.042;0.035
20.11.2017 20:00;-845;-1 371;-6 722;-1 717;-;-;-;-;-12.35;-5.81;-54.55;-0.89;0.00;0.02;12.99;33.35;3315;5926;1676;277;109.5;120;94;23;7205;32.7;157.6;1226;234;-;-;-;-;-347;-801;-5 383;-1 786;-30.3;-54.1;-413.0;-133.6;0.000;0.005;0.039;0.030
20.11.2017 21:00;-795;-1 353;-6 485;-1 618;-;-;-;-;-9.90;-5.66;-50.68;-0.84;0.01;0.00;11.22;33.41;2889;5922;1632;278;105.9;123;88;13;7206;31.3;152.9;1214;220;-;-;-;-;-335;-782;-5 095;-1 693;-29.3;-52.9;-390.7;-126.5;0.000;0.010;0.037;0.031
20.11.2017 22:00;-770;-1 330;-6 265;-1 535;-;-;-;-;-9.67;-5.86;-49.81;-0.66;0.00;0.01;10.00;33.88;2153;5480;1479;276;99.2;129;82;18;7209;30.8;156.5;1175;213;-;-;-;-;-317;-745;-4 700;-1 567;-27.6;-50.5;-360.0;-117.1;0.000;0.007;0.034;0.032
20.11.2017 23:00;-739;-1 304;-6 021;-1 497;-;-;-;-;-13.34;-5.79;-51.16;-0.69;0.00;0.01;9.86;33.96;1865;5123;1337;275;95.2;121;77;27;7210;29.2;155.1;1143;204;-;-;-;-;-298;-706;-4 308;-1 449;-26.0;-47.9;-329.8;-108.2;0.000;0.011;0.031;0.030
21.11.2017 0:00;-726;-1 282;-5 851;-1 445;-;-;-;-;-13.62;-5.46;-55.06;-0.67;0.01;0.00;9.79;33.20;1490;4408;1149;272;98.6;99;62;28;7211;28.9;154.1;1127;195;-;-;-;-;-287;-687;-4 087;-1 391;-25.1;-46.7;-312.6;-103.9;0.000;0.008;0.029;0.031
21.11.2017 1:00;-726;-1 265;-5 761;-1 429;-;-;-;-;-20.27;-5.48;-55.03;-0.66;0.01;0.01;9.79;31.48;1338;4160;1038;270;104.7;100;59;34;7210;28.8;155.8;1088;186;-;-;-;-;-283;-680;-4 003;-1 371;-24.7;-46.2;-306.0;-102.4;0.000;0.003;0.029;0.033
21.11.2017 2:00;-726;-1 254;-5 688;-1 409;-;-;-;-;-13.10;-7.08;-56.09;-0.81;0.00;0.02;9.93;31.89;1357;4200;1034;269;109.7;89;59;43;7210;28.9;155.7;1071;184;-;-;-;-;-282;-683;-3 988;-1 371;-24.6;-46.4;-304.9;-102.4;0.000;0.011;0.028;0.034
21.11.2017 3:00;-735;-1 243;-5 691;-1 415;-;-;-;-;-20.09;-6.59;-56.61;-0.78;0.00;0.00;9.97;33.33;1352;4240;1035;270;106.4;72;66;48;7213;29.0;158.5;1074;184;-;-;-;-;-285;-693;-4 014;-1 378;-24.9;-47.0;-306.7;-102.9;0.000;0.001;0.030;0.032
21.11.2017 4:00;-739;-1 244;-5 706;-1 436;-;-;-;-;-16.80;-6.55;-52.11;-0.71;0.01;0.01;9.83;34.20;1421;4385;1087;270;103.3;66;74;45;7213;29.5;157.9;1108;182;-;-;-;-;-294;-714;-4 096;-1 399;-25.6;-48.4;-313.0;-104.5;0.000;0.001;0.030;0.031
21.11.2017 5:00;-759;-1 288;-6 037;-1 529;-;-;-;-;-18.23;-6.39;-51.71;-0.70;0.00;0.02;9.85;34.79;2162;4841;1207;274;102.5;56;65;46;7214;29.7;161.7;1119;189;-;-;-;-;-308;-750;-4 311;-1 459;-26.8;-50.9;-329.5;-109.0;0.000;0.001;0.032;0.031
21.11.2017 6:00;-784;-1 382;-6 780;-1 782;-;-;-;-;-15.21;-7.14;-49.65;-0.85;0.00;0.00;10.67;34.15;2824;5649;1330;274;105.4;64;78;51;7216;31.4;163.5;1152;198;-;-;-;-;-323;-796;-4 729;-1 595;-28.1;-54.0;-361.6;-119.1;0.000;0.003;0.037;0.037
21.11.2017 7:00;-809;-1 474;-7 503;-2 035;-;-;-;-;-13.80;-7.08;-49.89;-1.21;0.00;0.01;13.58;34.10;3389;6154;1637;273;99.7;68;92;50;7214;33.2;165.4;1198;199;-;-;-;-;-328;-815;-4 980;-1 683;-28.6;-55.2;-381.4;-125.7;0.000;0.003;0.042;0.034
21.11.2017 8:00;-824;-1 505;-7 670;-2 091;-;-;-;-;-9.55;-6.93;-50.39;-1.66;0.00;0.01;13.75;34.17;3523;6367;1682;273;92.2;62;95;43;7213;33.7;166.6;1194;202;-;-;-;-;-316;-791;-4 854;-1 653;-27.5;-53.6;-372.2;-123.6;0.000;0.000;0.113;0.141
21.11.2017 9:00;-849;-1 498;-7 806;-2 075;-;-;-;-;-9.92;-5.90;-51.45;-1.63;0.00;0.00;13.27;34.64;3689;6253;1796;273;92.9;66;85;54;7213;33.6;162.7;1216;214;-;-;-;-;-312;-775;-4 823;-1 640;-27.2;-52.2;-370.0;-122.7;0.000;0.007;0.444;0.585
21.11.2017 10:00;-835;-1 497;-7 876;-2 122;-;-;-;-;-21.02;-6.07;-52.21;-1.43;0.00;0.01;12.82;34.33;3756;6290;1793;274;97.2;72;76;62;7209;35.6;166.7;1211;215;-;-;-;-;-311;-778;-4 791;-1 629;-27.1;-52.8;-367.7;-122.1;0.000;0.037;1.334;0.552
21.11.2017 11:00;-821;-1 489;-7 737;-2 122;-;-;-;-;-16.86;-6.75;-49.66;-1.34;0.00;0.00;13.44;34.65;3664;6296;1792;276;100.5;75;66;53;7215;36.1;161.9;1214;207;-;-;-;-;-309;-768;-4 758;-1 626;-27.0;-52.1;-365.6;-121.9;0.000;0.073;2.100;0.789
21.11.2017 12:00;-834;-1 478;-7 669;-2 093;-;-;-;-;-22.28;-6.31;-44.10;-1.59;0.00;0.00;14.12;34.56;3700;6393;1831;275;101.3;78;51;50;7213;36.0;161.9;1188;195;-;-;-;-;-308;-761;-4 729;-1 603;-26.9;-51.7;-363.4;-120.2;0.000;0.063;2.426;1.103
21.11.2017 13:00;-873;-1 487;-7 700;-2 111;-;-;-;-;-28.62;-6.81;-44.49;-1.54;0.00;0.01;13.95;34.56;3746;6407;1838;274;112.0;90;44;51;7213;36.1;168.1;1184;209;-;-;-;-;-308;-755;-4 678;-1 579;-26.9;-51.2;-359.7;-118.4;0.000;0.044;2.275;0.851
21.11.2017 14:00;-868;-1 500;-7 719;-2 075;-;-;-;-;-26.49;-6.91;-43.50;-1.41;0.00;0.00;14.05;34.34;3723;6379;1815;262;125.1;113;63;62;7214;36.0;167.5;1199;224;-;-;-;-;-319;-766;-4 741;-1 587;-27.9;-52.0;-364.5;-119.0;0.000;0.003;0.489;0.413
21.11.2017 15:00;-868;-1 489;-7 661;-2 048;-;-;-;-;-20.30;-7.31;-45.55;-0.95;0.00;0.00;13.43;34.09;3790;6420;1819;268;127.4;109;93;79;7216;36.2;169.2;1180;231;-;-;-;-;-337;-814;-5 022;-1 661;-29.5;-55.1;-386.1;-124.6;0.000;0.000;0.096;0.068
21.11.2017 16:00;-844;-1 443;-7 506;-1 957;-;-;-;-;-14.84;-6.39;-47.68;-0.60;0.00;0.01;13.32;34.37;3673;6361;1794;271;123.5;114;98;101;7219;36.2;169.4;1187;238;-;-;-;-;-353;-860;-5 499;-1 859;-30.9;-58.1;-422.7;-139.4;0.000;0.001;0.042;0.037
21.11.2017 17:00;-822;-1 412;-7 329;-1 873;-;-;-;-;-13.77;-7.25;-47.38;-0.76;0.00;0.00;12.54;34.37;3759;6435;1805;272;115.6;127;102;124;7221;35.8;168.7;1193;260;-;-;-;-;-358;-873;-5 834;-1 977;-31.4;-58.7;-448.4;-148.1;0.000;0.006;0.047;0.033
21.11.2017 18:00;-812;-1 387;-7 018;-1 774;-;-;-;-;-17.12;-7.81;-44.33;-0.69;0.00;0.01;8.23;34.04;3639;6286;1793;275;116.4;132;121;146;7221;35.2;158.9;1203;286;-;-;-;-;-351;-853;-5 867;-1 965;-30.8;-57.4;-450.7;-147.2;0.000;0.008;0.044;0.039
21.11.2017 19:00;-803;-1 354;-6 856;-1 731;-;-;-;-;-26.78;-4.76;-43.68;-0.69;0.00;0.00;4.62;32.77;3588;6269;1723;277;110.2;138;125;179;7207;35.9;155.5;1216;278;-;-;-;-;-346;-833;-5 777;-1 922;-30.4;-56.1;-443.4;-144.0;0.000;0.008;0.045;0.035
21.11.2017 20:00;-796;-1 325;-6 795;-1 681;-;-;-;-;-19.65;-4.78;-43.88;-0.66;0.00;0.01;4.00;31.78;2961;5914;1649;276;107.8;133;121;207;7208;36.0;154.0;1193;251;-;-;-;-;-337;-810;-5 589;-1 848;-29.6;-54.5;-428.8;-138.5;0.000;0.005;0.040;0.035
21.11.2017 21:00;-794;-1 313;-6 576;-1 624;-;-;-;-;-22.33;-6.16;-41.87;-0.66;0.01;0.02;3.88;32.01;2507;5661;1404;276;131.3;129;150;237;7210;33.4;153.6;1177;220;-;-;-;-;-326;-780;-5 300;-1 746;-28.6;-52.6;-406.3;-130.8;0.000;0.002;0.038;0.036
21.11.2017 22:00;-787;-1 311;-6 288;-1 581;-;-;-;-;-16.38;-7.05;-39.11;-0.19;0.00;0.00;3.78;32.74;2024;5165;1116;275;135.6;134;193;290;7213;31.2;153.5;1173;220;-;-;-;-;-310;-738;-4 923;-1 621;-27.2;-49.8;-376.8;-121.4;0.000;0.004;0.037;0.034
21.11.2017 23:00;-786;-1 286;-6 045;-1 513;-;-;-;-;-16.02;-6.92;-45.59;0.00;0.00;0.01;3.87;32.88;1592;4473;1065;273;138.4;119;218;332;7214;31.0;151.0;1145;212;-;-;-;-;-292;-694;-4 540;-1 489;-25.6;-46.9;-347.3;-111.5;0.000;0.006;0.032;0.032
22.11.2017 0:00;-757;-1 270;-5 881;-1 464;-;-;-;-;-18.24;-6.50;-54.32;-0.01;0.00;0.01;4.39;32.76;1257;3688;985;268;120.0;130;265;410;7216;29.6;147.5;1124;216;-;-;-;-;-283;-668;-4 332;-1 416;-24.9;-45.1;-331.4;-106.0;0.000;0.008;0.032;0.034
22.11.2017 1:00;-747;-1 253;-5 812;-1 439;-;-;-;-;-22.02;-6.86;-54.42;-0.01;0.01;0.01;4.56;32.52;1176;3388;1000;267;120.7;168;322;478;7218;30.0;147.0;1090;215;-;-;-;-;-280;-659;-4 252;-1 375;-24.6;-44.4;-325.2;-103.0;0.000;0.004;0.029;0.033
22.11.2017 2:00;-741;-1 249;-5 880;-1 427;-;-;-;-;-19.96;-6.25;-57.37;-0.01;0.00;0.03;4.42;33.20;1167;3310;976;264;118.1;179;403;551;7220;30.1;148.3;1086;211;-;-;-;-;-281;-656;-4 238;-1 353;-24.7;-44.3;-324.2;-101.4;0.000;0.004;0.030;0.031
22.11.2017 3:00;-744;-1 243;-5 907;-1 429;-;-;-;-;-21.86;-6.64;-53.85;-0.01;0.00;0.03;4.45;33.94;1163;3316;986;264;128.0;215;486;688;7219;30.0;146.5;1089;201;-;-;-;-;-286;-661;-4 268;-1 344;-25.1;-44.6;-326.4;-100.7;0.000;0.002;0.028;0.034
22.11.2017 4:00;-754;-1 276;-5 996;-1 448;-;-;-;-;-10.19;-6.18;-51.63;-0.01;0.00;0.02;4.36;34.01;1158;3477;994;264;128.9;239;551;828;7220;30.1;144.9;1093;197;-;-;-;-;-296;-676;-4 340;-1 344;-26.1;-45.7;-331.9;-100.6;0.000;0.001;0.028;0.031
22.11.2017 5:00;-756;-1 321;-6 342;-1 558;-;-;-;-;-12.10;-6.28;-51.72;0.00;0.01;0.03;4.30;33.43;1139;4350;1201;268;128.3;255;659;970;7220;30.6;145.4;1103;201;-;-;-;-;-309;-707;-4 544;-1 394;-27.2;-47.7;-347.6;-104.4;0.000;0.001;0.031;0.031
22.11.2017 6:00;-802;-1 410;-7 065;-1 787;-;-;-;-;-9.53;-6.26;-50.14;-0.01;0.00;0.00;5.11;32.93;1545;5393;1391;269;132.4;294;749;1057;7219;32.6;149.0;1096;206;-;-;-;-;-326;-749;-4 936;-1 512;-28.6;-50.5;-377.9;-113.2;0.000;0.000;0.031;0.034
22.11.2017 7:00;-851;-1 503;-7 772;-2 038;-;-;-;-;-9.79;-6.90;-48.18;-0.37;0.00;0.00;8.07;33.95;2873;5991;1624;274;132.8;309;868;1082;7219;36.2;150.2;1124;209;-;-;-;-;-335;-765;-5 179;-1 591;-29.4;-51.6;-396.9;-119.2;0.000;0.000;0.033;0.034
22.11.2017 8:00;-889;-1 544;-7 989;-2 135;-;-;-;-;-9.86;-7.09;-51.81;-0.72;0.00;0.00;8.56;34.08;2991;6134;1623;273;120.4;317;1018;1098;7219;36.7;148.5;1131;210;-;-;-;-;-324;-739;-5 029;-1 556;-28.5;-49.8;-385.9;-116.7;0.000;0.000;0.035;0.039
